"Guid","Acccount_Lookup0__c","Acccount_Lookup10__c","Acccount_Lookup11__c","Acccount_Lookup12__c","Acccount_Lookup13__c","Acccount_Lookup14__c","Acccount_Lookup15__c","Acccount_Lookup16__c","Acccount_Lookup17__c","Acccount_Lookup18__c","Acccount_Lookup19__c","Acccount_Lookup1__c","Acccount_Lookup2__c","Acccount_Lookup3__c","Acccount_Lookup4__c","Acccount_Lookup5__c","Acccount_Lookup6__c","Acccount_Lookup7__c","Acccount_Lookup8__c","Acccount_Lookup9__c","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Pricebook2Id","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","test_field__c"
00101bef-cd57-44d8-b50b-3b842be0b767,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity fhmtg,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00569570-4e28-467f-aedc-5b068c966697,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity oqwqz,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0062a14a-5936-4e16-a9c6-701f3eb5fa89,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity ywuyv,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0062a3dd-a1f9-4656-af70-c8edf8da34c1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity mctml,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
008613fd-197a-40ae-82e4-8d2044081f36,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity prefx,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0088f23e-4c9f-4acb-9bb1-1f7d55bf94ca,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity zybgh,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00920d63-4564-4fe0-9aae-c846cf20556a,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity xdpsz,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00a4b3aa-bdb3-46fb-be68-e129f67533e1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity zigyu,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00ad2329-ba79-4672-8a0d-1ff2041e37d0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity biioe,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00b44377-abaf-4e23-ac20-0e27211bd1dd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-02-02,"#N/A","#N/A",Pipeline,"#N/A",Opportunity acxsq,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
